Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05010:Alzheimer's disease	43	1.4196104324859689	2.5045190261541433E-4	A_23_P87616, A_24_P285831, A_23_P92410, A_23_P108303, A_23_P140423, A_23_P19517, A_23_P373031, A_24_P288993, A_23_P164650, A_23_P164228, A_23_P6099, A_23_P84670, A_23_P252322, A_23_P1998, A_24_P237265, A_23_P165086, A_23_P103398, A_23_P127353, A_23_P23924, A_23_P209389, A_23_P257795, A_23_P52639, A_23_P154875, A_24_P893239, A_23_P326170, A_24_P48617, A_23_P139722, A_23_P153549, A_23_P33216, A_23_P50872, A_23_P208540, A_23_P68866, A_23_P205686, A_23_P207632, A_24_P174346, A_24_P168456, A_23_P51069, A_23_P37910, A_24_P416951, A_23_P52806, A_23_P12329, A_23_P138835, A_24_P233850	773	163	5085	1.7353709156421875	0.0459992820204147	0.0459992820204147	0.31028943887003724
KEGG_PATHWAY	hsa00240:Pyrimidine metabolism	28	0.924397490921096	6.309258255657263E-4	A_23_P107421, A_23_P23855, A_24_P330009, A_23_P154234, A_23_P36928, A_24_P185986, A_24_P382001, A_23_P34597, A_23_P135364, A_23_P154488, A_23_P112478, A_23_P487, A_23_P144311, A_23_P79999, A_23_P360215, A_23_P71989, A_23_P161615, A_23_P152115, A_23_P351679, A_23_P88484, A_24_P322847, A_23_P163099, A_24_P247106, A_23_P25019, A_23_P50455, A_23_P17330, A_23_P91802, A_23_P80321	773	95	5085	1.9388574930210387	0.1118827347865341	0.05760026251411454	0.7799720717838743
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	28	0.924397490921096	0.0012593645769590797	A_23_P47691, A_24_P166443, A_23_P145238, A_23_P111054, A_32_P356316, A_23_P167997, A_23_P145904, A_24_P156911, A_23_P31006, A_24_P50245, A_23_P428184, A_24_P544661, A_23_P70445, A_23_P103981, A_23_P435029, A_24_P343233, A_23_P59045, A_24_P146211, A_23_P133146, A_23_P402081, A_23_P167983, A_23_P93180, A_32_P87697, A_24_P38895, A_23_P40470, A_24_P3783, A_32_P162183, A_23_P115021, A_23_P332992, A_23_P372860, A_23_P366216	773	99	5085	1.8605198165353403	0.21093750204728012	0.0759322768349725	1.551305791441726
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	34	1.1224826675470452	0.001950183233430612	A_32_P234459, A_23_P201156, A_23_P164691, A_24_P912382, A_24_P166443, A_24_P115183, A_32_P356316, A_23_P138308, A_23_P6272, A_24_P79300, A_24_P295999, A_23_P37942, A_23_P31006, A_23_P433760, A_23_P47410, A_24_P50245, A_24_P343233, A_23_P54809, A_23_P352870, A_24_P311926, A_24_P298409, A_23_P109034, A_32_P87697, A_24_P326082, A_23_P70539, A_24_P70993, A_24_P50890, A_23_P71017, A_24_P385313, A_23_P408353, A_23_P136405, A_23_P405088, A_23_P145264, A_23_P164284, A_23_P152655, A_32_P163247	773	132	5085	1.6944019757732567	0.30718510034786994	0.08766506577129429	2.3928397729963136
BIOCARTA	h_bArrestin-srcPathway:Roles of ï¿½-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling	9	0.29712776493892373	0.0024972954070352975	A_23_P308603, A_24_P168574, A_24_P237265, A_24_P386622, A_23_P103932, A_23_P6099, A_23_P37910, A_23_P98183, A_23_P135273	216	18	1437	3.3263888888888884	0.48320581396323137	0.48320581396323137	3.223032483314947
BIOCARTA	h_mhcPathway:Antigen Processing and Presentation	6	0.19808517662594916	0.009507749817740423	A_23_P37441, A_24_P912382, A_23_P408353, A_23_P59005, A_23_P31006, A_24_P418044, A_24_P263767, A_32_P87697, A_24_P343233	216	10	1437	3.9916666666666663	0.9197055337310408	0.716637217918515	11.765229345879192
BIOCARTA	h_ecmPathway:Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia	9	0.29712776493892373	0.010623145218588556	A_23_P308603, A_23_P200443, A_24_P237265, A_23_P27096, A_23_P255884, A_23_P37910, A_23_P69491, A_23_P98183, A_24_P184555	216	22	1437	2.7215909090909087	0.9403650247042208	0.6093087532027426	13.058254300212269
BIOCARTA	h_edg1Pathway:Phospholipids as signalling intermediaries	9	0.29712776493892373	0.014237888657315857	A_23_P308603, A_24_P237265, A_32_P217709, A_23_P38106, A_23_P216325, A_23_P6099, A_23_P215406, A_23_P37910, A_23_P69491, A_23_P122976	216	23	1437	2.6032608695652173	0.9773097065478978	0.6118853571708784	17.129365099304206
KEGG_PATHWAY	hsa05330:Allograft rejection	12	0.3961703532518983	0.014618781127624735	A_32_P234459, A_24_P912382, A_24_P166443, A_24_P311926, A_24_P298409, A_32_P356316, A_32_P87697, A_24_P326082, A_23_P70539, A_23_P408353, A_23_P31006, A_24_P50245, A_23_P145264, A_24_P343233	773	36	5085	2.1927554980595083	0.9372513006298991	0.42519445941498724	16.69923066600343
KEGG_PATHWAY	hsa04144:Endocytosis	40	1.3205678441729944	0.016290980582638753	A_32_P234459, A_24_P210888, A_24_P398432, A_24_P912382, A_23_P140821, A_23_P217938, A_23_P98183, A_24_P341897, A_23_P31903, A_23_P28559, A_23_P308603, A_24_P937319, A_24_P122682, A_23_P213562, A_23_P215790, A_23_P78952, A_23_P406330, A_23_P68121, A_23_P393758, A_23_P409417, A_24_P311926, A_24_P386622, A_23_P407074, A_23_P23630, A_24_P298409, A_23_P397910, A_24_P186862, A_24_P244495, A_24_P326082, A_23_P415006, A_23_P70539, A_23_P27023, A_23_P100912, A_23_P212715, A_23_P89310, A_23_P408353, A_23_P145264, A_24_P386334, A_23_P330788, A_23_P212545, A_23_P10156, A_23_P135273, A_23_P119390, A_23_P163458	773	184	5085	1.4300579335170707	0.9544035709336782	0.4022928212377753	18.436218204961364
