Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[gender]	Term Source REF	Term Accession Number	Characteristics[strain]	Term Source REF	Term Accession Number	Characteristics[tissue]	Term Source REF	Term Accession Number	Characteristics[treatment]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]
GSM819076 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819076 extract 1	total RNA	P-GSE33005-5	  	GSM819076 LE 1	Cy3	P-GSE33005-6	  	GSM819076	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819076_US10283824_252828210181_S01_GE1_107_Sep09_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819076_sample_table.txt norm	GSM819076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg corn oil
GSM819075 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819075 extract 1	total RNA	P-GSE33005-5	  	GSM819075 LE 1	Cy3	P-GSE33005-6	  	GSM819075	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819075_US10283824_252828210181_S01_GE1_107_Sep09_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819075_sample_table.txt norm	GSM819075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg corn oil
GSM819074 1	Gene expression in thymus from female Wistar rats daily administered with 5 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	5 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819074 extract 1	total RNA	P-GSE33005-5	  	GSM819074 LE 1	Cy3	P-GSE33005-6	  	GSM819074	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819074_US10283824_252828210181_S01_GE1_107_Sep09_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819074_sample_table.txt norm	GSM819074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	5 ml/kg corn oil
GSM819073 1	Gene expression in thymus from female Wistar rats daily administered with 2 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	2 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819073 extract 1	total RNA	P-GSE33005-5	  	GSM819073 LE 1	Cy3	P-GSE33005-6	  	GSM819073	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819073_US10283824_252828210180_S01_GE1_107_Sep09_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819073_sample_table.txt norm	GSM819073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	2 ml/kg corn oil
GSM819072 1	Gene expression in thymus from female Wistar rats daily administered with 2 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	2 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819072 extract 1	total RNA	P-GSE33005-5	  	GSM819072 LE 1	Cy3	P-GSE33005-6	  	GSM819072	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819072_US10283824_252828210180_S01_GE1_107_Sep09_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819072_sample_table.txt norm	GSM819072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	2 ml/kg corn oil
GSM819071 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of saline by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg saline	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819071 extract 1	total RNA	P-GSE33005-5	  	GSM819071 LE 1	Cy3	P-GSE33005-6	  	GSM819071	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819071_US10283824_252828210180_S01_GE1_107_Sep09_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819071_sample_table.txt norm	GSM819071_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg saline
GSM819070 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of saline by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg saline	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819070 extract 1	total RNA	P-GSE33005-5	  	GSM819070 LE 1	Cy3	P-GSE33005-6	  	GSM819070	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819070_US10283824_252828210180_S01_GE1_107_Sep09_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819070_sample_table.txt norm	GSM819070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg saline
GSM819069 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of saline by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg saline	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819069 extract 1	total RNA	P-GSE33005-5	  	GSM819069 LE 1	Cy3	P-GSE33005-6	  	GSM819069	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819069_US10283824_252828210179_S01_GE1_107_Sep09_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819069_sample_table.txt norm	GSM819069_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg saline
GSM819068 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819068 extract 1	total RNA	P-GSE33005-5	  	GSM819068 LE 1	Cy3	P-GSE33005-6	  	GSM819068	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819068_US10283824_252828210179_S01_GE1_107_Sep09_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819068_sample_table.txt norm	GSM819068_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg corn oil
GSM819067 1	Gene expression in thymus from female Wistar rats daily administered with 10 ml/kg of corn oil by gavage for 14 consecutive days	thymus	Rattus norvegicus	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10116	7 weeks	female	EFO	EFO_0001265	Wistar	EFO	EFO_0001342	thymus	EFO	EFO_0000860	10 ml/kg corn oil	P-GSE33005-2	  	P-GSE33005-3	  	P-GSE33005-4	  	GSM819067 extract 1	total RNA	P-GSE33005-5	  	GSM819067 LE 1	Cy3	P-GSE33005-6	  	GSM819067	A-GEOD-14746	  	P-GSE33005-7	  	P-GSE33005-8	  	P-GSE33005-9	  	GSM819067_US10283824_252828210179_S01_GE1_107_Sep09_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.raw.1.zip	P-GSE33005-1	  	GSM819067_sample_table.txt norm	GSM819067_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33005/E-GEOD-33005.processed.1.zip	10 ml/kg corn oil
